state,district,year,annual_rainfall_mm
Andaman & Nicobar Islands,Havelock,2019,1194.8
Andaman & Nicobar Islands,Havelock,2021,1138.1
Andaman & Nicobar Islands,Havelock Island,2021,1114.3
Andaman & Nicobar Islands,Long Island,2019,1221.9
Andaman & Nicobar Islands,Long Island,2021,1051.5
Andaman & Nicobar Islands,N&M Andaman,2019,1168.4
Andaman & Nicobar Islands,N&M Andaman,2021,1040.9
Andaman & Nicobar Islands,Neil Island,2019,1254.3
Andaman & Nicobar Islands,Neil Island,2021,1100.0
Andaman & Nicobar Islands,North & Middle Andaman,2023,1055.5
Andaman & Nicobar Islands,Ross Island,2019,1152.0
Andaman & Nicobar Islands,Ross Island,2021,1140.2
Andaman & Nicobar Islands,South Andaman,2019,3427.6
Andaman & Nicobar Islands,South Andaman,2021,2899.7
Andaman & Nicobar Islands,South Andaman,2023,2744.6
Andhra Pradesh,ANANTAPUR,2022,521.3
Andhra Pradesh,ANANTHAPUR,2019,1019.2
Andhra Pradesh,Agar Malwa,2019,1042.2
Andhra Pradesh,Alirajpur,2019,1032.5
Andhra Pradesh,Alluri Sita Rama Raju,2023,869.8
Andhra Pradesh,Alluri Sita Rama Raju P,2023,898.3
Andhra Pradesh,Anakapalli,2023,856.3
Andhra Pradesh,Anakapalli K,2023,869.9
Andhra Pradesh,Ananthapur,2023,876.5
Andhra Pradesh,Annamayya,2023,884.5
Andhra Pradesh,Annamayya B,2023,913.7
Andhra Pradesh,Annamayya K,2023,861.7
Andhra Pradesh,Annamayya M,2023,889.6
Andhra Pradesh,Anuppur,2019,1049.2
Andhra Pradesh,Bapatla,2023,848.1
Andhra Pradesh,CHITTOOR,2019,998.6
Andhra Pradesh,CHITTOOR,2022,816.5
Andhra Pradesh,Chittoor,2023,807.6
Andhra Pradesh,Chittoor T,2023,928.2
Andhra Pradesh,Chittoor VS,2023,929.7
Andhra Pradesh,EAST GODAVARI,2019,1254.1
Andhra Pradesh,EAST GODAVARI,2022,1019.3
Andhra Pradesh,East Godavari,2022,997.8
Andhra Pradesh,East Godavari,2023,1058.8
Andhra Pradesh,Eluru,2023,883.1
Andhra Pradesh,GUNTUR,2019,922.4
Andhra Pradesh,GUNTUR,2022,818.8
Andhra Pradesh,Guntur,2022,781.1
Andhra Pradesh,Guntur,2023,852.7
Andhra Pradesh,KADAPA,2019,1014.5
Andhra Pradesh,KADAPA,2022,902.8
Andhra Pradesh,KRISHNA,2019,1108.5
Andhra Pradesh,KRISHNA,2022,967.4
Andhra Pradesh,KURNOOL,2019,751.1
Andhra Pradesh,KURNOOL,2022,618.7
Andhra Pradesh,Kadapa,2022,930.1
Andhra Pradesh,Kadapa T,2022,912.8
Andhra Pradesh,Kakinada,2023,927.4
Andhra Pradesh,Konaseema,2023,923.4
Andhra Pradesh,Krishna,2022,974.9
Andhra Pradesh,Krishna,2023,1006.2
Andhra Pradesh,Kurnool,2022,612.5
Andhra Pradesh,Kurnool,2023,619.4
Andhra Pradesh,NELLORE,2019,1146.2
Andhra Pradesh,NELLORE,2022,1008.2
Andhra Pradesh,Nandyal,2023,878.5
Andhra Pradesh,Nandyal G,2023,868.1
Andhra Pradesh,Nellore,2022,1059.8
Andhra Pradesh,Nellore,2023,1011.4
Andhra Pradesh,Ntr,2023,868.9
Andhra Pradesh,Ntr A,2023,892.2
Andhra Pradesh,PRAKASAM,2019,854.7
Andhra Pradesh,PRAKASAM,2022,780.4
Andhra Pradesh,PRAKASAM H,2022,850.6
Andhra Pradesh,PRAKASAM P,2022,931.6
Andhra Pradesh,Palnadu,2023,912.6
Andhra Pradesh,Palnadu A,2023,861.6
Andhra Pradesh,Parvathipuram Manyam,2023,844.4
Andhra Pradesh,Prakasham,2023,916.4
Andhra Pradesh,Prakasham P,2023,906.7
Andhra Pradesh,Prakasham R,2023,908.7
Andhra Pradesh,SRIKAKULAM,2019,1316.5
Andhra Pradesh,SRIKAKULAM,2022,1048.6
Andhra Pradesh,Sri Satya Sai,2023,875.8
Andhra Pradesh,Sri Satya Sai AIi,2023,854.2
Andhra Pradesh,Srikakulam,2022,1135.1
Andhra Pradesh,Srikakulam,2023,1108.8
Andhra Pradesh,Tirupathi,2023,873.3
Andhra Pradesh,VISAKAPATNAM,2019,994.2
Andhra Pradesh,VISAKHAPATNAM,2022,1033.5
Andhra Pradesh,VIZIANAGARAM,2019,1232.5
Andhra Pradesh,VIZIANAGARAM,2022,1096.6
Andhra Pradesh,Vidisha,2019,1209.7
Andhra Pradesh,Visakhapatnam,2021,1152.5
Andhra Pradesh,Visakhapatnam,2023,1050.5
Andhra Pradesh,Vizianagaram,2023,1031.2
Andhra Pradesh,WEST GODAVARI,2019,1303.7
Andhra Pradesh,WEST GODAVARI,2022,1119.2
Andhra Pradesh,West Godavari,2022,1097.5
Andhra Pradesh,West Godavari,2023,1120.3
Andhra Pradesh,Ysr Kadapa,2023,887.8
Arunachal Pradesh,Changlang,2019,3907.2
Arunachal Pradesh,Changlang,2020,3834.9
Arunachal Pradesh,Changlang,2021,3342.0
Arunachal Pradesh,Changlang,2022,3200.6
Arunachal Pradesh,Changlang,2023,3175.2
Arunachal Pradesh,Dibrugarh,2020,2824.7
Arunachal Pradesh,EAST SIANG,2021,3920.2
Arunachal Pradesh,East Siang,2022,3795.9
Arunachal Pradesh,East Siang,2023,3947.2
Arunachal Pradesh,LOHIT,2019,3264.2
Arunachal Pradesh,LOWER SUBANSIRI,2021,2872.1
