sl_no,well_id,state,district,block,location,latitude,longitude,year,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,SiO2,TDS,U,Fe,As,source_year,source_file
1,W113126092431802,A&N Islands,South Andaman,PORT BLAIR,Kodiaghat,11.54500,92.74583,2021,7.74,349,0,183,25,1,1,,175,34,22,10,0,0.84,,206,4.8,,,2021,cgwb_2021.pdf
2,W113616092411001,A&N Islands,South Andaman,PORT BLAIR,Sippighat,11.60250,92.73000,2021,7.53,660,0,262,82,5,1,,250,52,29,51,1,0.28,,381,6.4,,,2021,cgwb_2021.pdf
3,W113640092443301,A&N Islands,South Andaman,PORT BLAIR,Brichganj,11.62083,92.73028,2021,7.50,270,0,116,35,1,0,,125,4,28,10,1,0.46,,151,BDL,,,2021,cgwb_2021.pdf
4,W114421092422801,A&N Islands,South Andaman,FERRARGUNJ,Wimberleyganj,11.73250,92.70861,2021,7.60,311,0,159,39,2,0,,135,26,17,15,2,0.37,,198,0.4,,,2021,cgwb_2021.pdf
5,W113955092391801,A&N Islands,South Andaman,FERRARGUNJ,Ograbraj,11.66361,92.65806,2021,7.82,2501,0,512,560,56,5,,465,56,79,336,18,0.95,,1424,BDL,,,2021,cgwb_2021.pdf
6,W113137092432201,A&N Islands,South Andaman,PORT BLAIR,Burmanala,11.55778,92.72917,2021,7.71,264,0,153,35,1,1,,130,26,16,15,0,0.57,,188,3.4,,,2021,cgwb_2021.pdf
7,W113227092433001,A&N Islands,South Andaman,PORT BLAIR,Calicut,11.60750,92.72556,2021,7.79,535,0,323,28,1,1,,245,38,36,19,0,0.41,,321,0.1,,,2021,cgwb_2021.pdf
8,W114348092404801,A&N Islands,South Andaman,FERRARGUNJ,Saitankhari,11.71167,92.67111,2021,7.78,440,0,226,39,1,1,,190,36,24,22,2,0.69,,264,0.8,,,2021,cgwb_2021.pdf
9,W123020092544201,A&N Islands,N&M Andaman,MAYABUNDER,Rangat,12.50611,92.90861,2021,7.92,592,0,317,35,1,0,,265,34,44,15,2,0.32,,325,2.3,,,2021,cgwb_2021.pdf
10,W123014092513301,A&N Islands,N&M Andaman,MAYABUNDER,Bakultala,12.50417,92.85833,2021,7.78,456,0,226,21,5,2,,205,38,27,14,7,0.60,,251,0.3,,,2021,cgwb_2021.pdf
